Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1696272534.2897856,294,0,0,,42.33397166666667,71.10068666666666,0.0,673064.8871793421,4688994.905587708,42,T
1696272535.291712,295,0,0,,42.33398333333333,71.10068166666666,0.0,673064.4432354756,4688996.190906432,42,T
1696272536.2879767,296,0,0,,42.33399166666666,71.100675,0.0,673063.8711211603,4688997.102691863,42,T
1696272537.3164399,297,0,0,,42.33400166666667,71.10066833333333,0.0,673063.2944353188,4688998.199548009,42,T
1696272538.289858,298,0,0,,42.33401166666666,71.10066333333333,0.0,673062.8550635658,4688999.299796153,42,T
1696272539.316795,299,0,0,,42.334021666666665,71.10065833333333,0.0,673062.4156919363,4689000.400044326,42,T
1696272540.2907526,300,0,0,,42.33403,71.10065333333334,0.0,673061.9808920724,4689001.315221848,42,T
1696272541.2902691,301,0,0,,42.33404,71.10064833333333,0.0,673061.5415206819,4689002.41547007,42,T
1696272542.3171744,302,0,0,,42.33405,71.10064000000001,0.0,673060.827521754,4689003.508934469,42,T
1696272543.2901928,303,0,0,,42.33406,71.100635,0.0,673060.3881506623,4689004.609182757,42,T
1696272544.291403,304,0,0,,42.334070000000004,71.10063,0.0,673059.9487796961,4689005.709431072,42,T
1696272545.3171306,305,0,0,,42.33407999999999,71.10062500000001,0.0,673059.5094088557,4689006.809679408,42,T
1696272546.2901201,306,0,0,,42.334089999999996,71.10062500000001,0.0,673059.4819793814,4689007.92010345,42,T
1696272547.2878754,307,0,0,,42.33410000000001,71.10062333333333,0.0,673059.3172361753,4689009.027135601,42,T
1696272548.3145907,308,0,0,,42.334109999999995,71.10061999999999,0.0,673059.0151793027,4689010.130775862,42,T
1696272549.2909713,309,0,0,,42.33411833333333,71.10061833333333,0.0,673058.8550077667,4689011.052737348,42,T
1696272550.2901995,310,0,0,,42.33412833333333,71.10061333333333,0.0,673058.415637367,4689012.152985748,42,T
1696272551.3179686,311,0,0,,42.33413833333334,71.10061,0.0,673058.1135807359,4689013.256626048,42,T
1696272552.2910495,312,0,0,,42.33414833333333,71.10061333333333,0.0,673058.360778667,4689014.373833851,42,T
1696272553.292198,313,0,0,,42.334158333333335,71.100615,0.0,673058.4706629084,4689015.487649785,42,T
1696272554.291169,314,0,0,,42.33416833333334,71.100615,0.0,673058.4432335233,4689016.598073842,42,T
1696272555.290431,315,0,0,,42.33417833333333,71.10061,0.0,673058.0038634677,4689017.698322263,42,T
1696272556.2899663,316,0,0,,42.33418833333334,71.100605,0.0,673057.5644935397,4689018.798570714,42,T
1696272557.2908323,317,0,0,,42.33419833333334,71.1006,0.0,673057.1251237371,4689019.898819189,42,T
1696272558.2904027,318,0,0,,42.33420833333333,71.10059500000001,0.0,673056.6857540603,4689020.999067686,42,T
1696272559.2918966,319,0,0,,42.33421833333333,71.10059,0.0,673056.2463845089,4689022.0993162105,42,T
1696272560.2899623,320,0,0,,42.33422833333334,71.10058000000001,0.0,673055.3950747474,4689023.189389272,42,T
1696272561.2893043,321,0,0,,42.33424,71.10057499999999,0.0,673054.9511340247,4689024.474708547,42,T
1696272562.2899778,322,0,0,,42.334250000000004,71.10056666666667,0.0,673054.2371381309,4689025.568173556,42,T
1696272563.3178408,323,0,0,,42.33425999999999,71.10056,0.0,673053.6604558235,4689026.665030425,42,T
1696272564.2905297,324,0,0,,42.33427,71.10055166666666,0.0,673052.9464603317,4689027.758495557,42,T
1696272565.2913196,325,0,0,,42.33428000000001,71.10054666666666,0.0,673052.507091718,4689028.858744297,42,T
1696272566.3171937,326,0,0,,42.334291666666665,71.10054166666667,0.0,673052.0631518145,4689030.144063742,42,T
1696272567.2878132,327,0,0,,42.33430166666667,71.10053500000001,0.0,673051.4864701777,4689031.2409207765,42,T
1696272568.2915263,328,0,0,,42.33431166666666,71.10052999999999,0.0,673051.0471019684,4689032.341169599,42,T
