%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242551799105382,60,1698242551798839807,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242552799330260,61,1698242552798947334,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242553799256423,62,1698242553798916816,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242554798804672,63,1698242554798398256,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242555801744625,64,1698242555801380872,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242556802715128,65,1698242556802058219,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242557801985605,66,1698242557801720142,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242558801513224,67,1698242558801079988,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242559802161544,68,1698242559801593065,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242560802352170,69,1698242560801707506,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242561801017240,70,1698242561800385713,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242562800655408,71,1698242562800045251,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242563800872405,72,1698242563800281524,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242564801087395,73,1698242564800448656,GPS1_Frame,42.33708572387695,-71.0898666381836,13.800000190734863,327835.0625,4689319.0,19,T
1698242565801074263,74,1698242565800461053,GPS1_Frame,42.33708572387695,-71.0898666381836,13.699999809265137,327835.0625,4689319.0,19,T
1698242566800355815,75,1698242566799743652,GPS1_Frame,42.33708572387695,-71.0898666381836,13.399999618530273,327834.90625,4689318.5,19,T
1698242567800818363,76,1698242567800214290,GPS1_Frame,42.33707809448242,-71.0898666381836,13.399999618530273,327835.03125,4689317.5,19,T
1698242568801828013,77,1698242568801064014,GPS1_Frame,42.33706283569336,-71.08985900878906,13.300000190734863,327835.6875,4689316.0,19,T
1698242569801617951,78,1698242569800891637,GPS1_Frame,42.33704376220703,-71.08984375,13.399999618530273,327836.71875,4689314.0,19,T
